year,subject,question_type,question_number,question,options,answer,analysis,images
2011,数据结构,真题,11,"已知序列 25,13,10,12,9 是大根堆，在序列尾部插入新元素 18，将其再调整为大根堆，调整过程中元素之间进行的比较次数是（） 堆的概念 插入 18 后，首先将 18 与 10 比较，交换位置，再将 18 与 25 比较，不交换位置。共比较了 2 次，调整的过程如下图所示。 251310129251310129182513101291825131812910插入结点 18插入结点 10插入结点 25 251310129251310129182513101291825131812910插入结点 18插入结点 10插入结点 25",,B,"堆的概念A.1B.2C.4D.5查看答案与解析收藏正确答案：B插入 18 后，首先将 18 与 10 比较，交换位置，再将 18 与 25 比较，不交换位置。共比较了 2
次，调整的过程如下图所示。251310129251310129182513101291825131812910插入结点 18插入结点 10插入结点 25",
2011,计算机组成原理,真题,12,下列选项中，描述浮点数操作速度指标的是（ ）。 指令执行指标,,D,指令执行指标A.MIPSB.CPIC.IPCD.MFLOPS查看答案与解析收藏正确答案：DMIPS是每秒执行多少百万条指令，适用千衡量标量机的性能。CPI是平均每条指令的时钟周期数。IPC是 CPI 的倒数，即每个时钟周期执行的指令数。MFLOPS是每秒执行多少百万条浮点数运算，用来描述浮点数运算速度，适用于衡量向量机的性能。,
2011,计算机组成原理,真题,13,"float 型数据通常用 IEEE754 单精度浮点数格式表示。若编译器将 float 型变量 x 分配在一个 32 位浮点寄存器 FR1 中，且 x=-8.25，则 FR1 的内容是（ ）。 IEEE浮点数表示 本题题意即考查IEEE 754 单精度浮点数的表示。先将 x 转换成二进制为−1000.01=−1.00001×23，其次计算阶码 E，根据 IEEE 754 单精度浮点数格式，有 E-127=3，故 E=130，转换成二进制为 1000 0010。最后，根据 IEEE 754 标准，最高位的 “1” 是被隐藏的。 IEEE 754 单精度浮点数格式：数符（1 位）＋阶码（8 位）＋尾数（23 位）。 故，FR1 内容为 1; 1000 0010; 0000 10000 0000 0000 0000 000。 即，1100 0001 0000 0100 0000 0000 0000 0000= C104000H。 本题易误选 D, 未考虑 IEEE 754 标准隐含最高位 1 的情况，偏置值是 128。",,A,"IEEE浮点数表示A.C1040000HB.C2420000HC.C1840000HD.C1C20000H查看答案与解析收藏正确答案：A本题题意即考查IEEE 754 单精度浮点数的表示。先将 x 转换成二进制为−1000.01=−1.00001×23，其次计算阶码 E，根据 IEEE 754 单精度浮点数格式，有 E-127=3，故 E=130，转换成二进制为 1000 0010。最后，根据 IEEE 754 标准，最高位的 “1” 是被隐藏的。IEEE 754 单精度浮点数格式：数符（1 位）＋阶码（8 位）＋尾数（23 位）。故，FR1 内容为 1; 1000 0010; 0000 10000 0000 0000 0000 000。即，1100 0001 0000 0100 0000 0000 0000 0000= C104000H。本题易误选 D, 未考虑 IEEE 754 标准隐含最高位 1 的情况，偏置值是 128。",
2011,计算机组成原理,真题,14,下列各类存储器中，不采用随机存取方式的是（ ）。 存储器概念,,B,存储器概念A.EPROMB.CDROMC.DRAMD.SRAM查看答案与解析收藏正确答案：B随机存取方式是指 CPU 可以对存储器的任一存储单元中的内容随机存取，而且存取时间与存储单元的物理位置无关。选项 A、C、D 均采用随机存取方式，CDROM即光盘，采用串行存取方式。,
2011,计算机组成原理,真题,15,某计算机存储器按字节编址，主存地址空间大小为 64MB，现用 4M×8 位的 RAM 芯片组成 32MB 的主存储器，则存储器地址寄存器 MAR 的位数至少是（ ）。 存储器概念,,D,存储器概念A.22 位B.23 位C.25 位D.26 位查看答案与解析收藏正确答案：D主存按字节编址，地址空间大小为 64MB，MAR 的寻址范围为 64M =226，故为 26 位。实际的主存容量 32MB 不能代表 MAR 的位数，考虑到存储器扩展的需要，MAR 应保证访问到整个主存地址空间，反过来，MAR 的位数决定了主存地址空间的大小。,
2011,计算机组成原理,真题,16,偏移寻址将某个寄存器内容与一个形式地址相加而生成有效地址。下列寻址方式中，不属于偏移寻址方式的是（ ）。 指令寻址方式,,A,指令寻址方式A.间接寻址B.基址寻址C.相对寻址D.变址寻址查看答案与解析收藏正确答案：A间接寻址不需要寄存器，EA = (A)。基址寻址 EA = A + 基址寄存器 BR 内容；相对寻址 EA= A + 程序计数器 PC 内容；变址寻址 EA = A + 变址寄存器 IX 内容。后三者都是将某个寄存器内容与一个形式地址相加而形成有效地址，故选 A。,
2011,计算机组成原理,真题,17,某机器有一个标志寄存器，其中有进位/借位标志 CF、零标志 ZF、符号标志 SF 和溢出标志 OF，条件转移指令 bgt（无符号整数比较大于时转移）的转移条件是 ( ) 标志寄存器,,C,"标志寄存器A.CF+OF=1B.SF+ZF=1C.CF+ZF​=1D.CF+SF​=1查看答案与解析收藏正确答案：C本题考察标志寄存器，假设两个无符号整数 A 和 B，bgt 指令会将 A 和 B 进行比较，也就是将 A 和 B 相减。如果 A > B，则 A-B 肯定无进位／借位，也不为 0（为 0 时表示两数相同），故而 CF 和 ZF 均为 0，选 C。其余选项中用到了符号标志 SF 和溢出标志 OF, 显然应当排除。",
2011,计算机组成原理,真题,18,下列给出的指令系统特点中，有利于实现指令流水线的是（ ）。 Ⅰ. 指令格式规整且长度一致 Ⅱ. 指令和数据按边界对齐存放 Ⅲ. 只有 Load/Store 指令才能对操作数进行存储访问 流水线概念,,D,流水线概念A.仅Ⅰ、ⅡB.仅Ⅱ、ⅢC.仅Ⅰ、ⅢD.Ⅰ、Ⅱ、Ⅲ查看答案与解析收藏正确答案：D指令定长、对齐和仅 Load/Store 指令访存，这 3 个都是 RISC 的特征，指令格式规整且长度一 致能大大简化指令译码的复杂度，有利于 实现流水线。指令和数据按边界对齐存放能保证在一个存取周期内取到需要的数据和指令，不用多余的延迟等待，也有利于实现流水线。只有 Load/Store 指令才能对操作数进行存储访问使取指令、取操作数操作简化且时间长度固定，能够有效地简化流水线的复杂度。,
2011,计算机组成原理,真题,19,假定不采用 Cache 和指令预取技术，且机器处于“开中断”状态，则在下列有关指令执行的叙述中，错误的是（ ）。 计算机性能指标中断屏蔽,,C,计算机性能指标中断屏蔽A.每个指令周期中 CPU 都至少访问内存一次B.每个指令周期一定大于或等于一个 CPU 时钟周期C.空操作指令的指令周期中任何寄存器的内容都不会被改变D.当前程序在每条指令执行结束时都可能被外部中断打断查看答案与解析收藏正确答案：C由于不采用指令预取技术，每个指令周期都需要取指令，而不采用 Cache 技术，则每次取指令都至少要访问内存一次（当指令字长与存储字长相等且按边界对齐时），A 正确。时钟周期是 CPU 的最小时间单位，每个指令周期一定大于或等于 一个 CPU 时钟周期，B 正确。即使是空操作指令，在取指操作后，PC 也会自动加 1，C 错误。由于机器处于“开中断”状态，在 每条指令执行结束时都可能被外部中断而 打断。,
2011,计算机组成原理,真题,20,在系统总线的数据线上，不可能传输的是（ ）。 总线概念,,C,总线概念A.指令B.操作数C.握手（应答）信号D.中断类型号查看答案与解析收藏正确答案：C在取指令时，指令便是在数据线上传输的。操作数显然在数据线上传输。中断类型号用以指出中断向量表的地址，CPU 响应中断请求后，将中断应答信号（INTR）发回到数据总线上，CPU 从数据总线上读取中断类型号后，查找中断向量表，找到相应的中断处理程序入口。而握手（应答）信号属于通信联络控制信号，应在通信总线上传输。,
2011,计算机组成原理,真题,21,某计算机有五级中断L4​∼L0​，中断屏蔽字为M4​M3​M2​M1​M0​，Mi​=1（0≤i≤4）表示对Li​级中断进行屏蔽。若中断响应优先级从高到低的顺序是L0​→L1​→L2​→L3​→L4​，且要求中断处理优先级从高到低的顺序是L4​→L0​→L2​→L1​→L3​，则L1​的中断处理程序中设置的中断屏蔽字是（ ）。 多级中断中断屏蔽,,D,多级中断中断屏蔽A.11110B.01101C.00011D.01010查看答案与解析收藏正确答案：D高优先级置 0 表示可被中断，比该中断优先级低（或相等）的置 l 表示不可被中断，L1​只能屏蔽L3​和其自身，故M3​和M1​置 1，中断屏蔽字M4​M3​M2​M1​M0​=01010。,
2011,计算机组成原理,真题,22,某计算机处理器主频为 50MHz，采用定时查询方式控制设备 A 的 I/O，查询程序运行一次所用的时钟周期数至少为 500。在设备 A 工作期间，为数据不丢失，每秒需对其查询至少 200 次，则 CPU 用于设备 A 的 I/O 的时间占整个 CPU 时间的百分比至少是（ ）。 程序查询IO方式,,C,程序查询IO方式A.0.02%B.0.05%C.0.20%D.0.50%查看答案与解析收藏正确答案：C本题考察程序查询 I/O 方式，每秒至少查询 200 次，每次查询至少 500 个 时钟周期，总的时钟周期数为 200 × 500 =100000，因此 CPU 用于设备 A 的 I/O 的时间占 CPU 时间比为 100000/50M =0.20%。,
2011,操作系统,真题,23,下列选项中，满足短任务优先且不会发生饥饿现象的调度算法是（ ）。 处理机调度算法,,B,处理机调度算法A.先来先服务B.高响应比优先C.时间片轮转D.非抢占式短任务优先查看答案与解析收藏正确答案：B最高响应比优先是一种综合考虑任务长度和等待时间的调度算法，响应比＝（等待时间＋执行时间）／执行时间。高响应比优先算法在等待时间相同的情况下，作业执行时间越短则响应比越高，满足短任务优先。随着长任务的等待时间增加，响应比也会变大，执行机会也就增大，所以不会发生饥饿现象。先来先服务和时间片轮转不符合短任务优先，非抢占式短任务优先会产生饥饿现象。,
2011,操作系统,真题,24,下列选项中，在用户态执行的是（ ）。 用户态和内核态,,A,用户态和内核态A.命令解释程序B.缺页处理程序C.进程调度程序D.时钟中断处理程序查看答案与解析收藏正确答案：A缺页处理和时钟中断都属于中断，在内核态执行；进程调度是操作系统内核进程，无须用户干预，在核心态执行；命令解释程序属于命令接口，是四个选项中唯一能面对用户的，它在用户态执行。,
2011,操作系统,真题,25,在支持多线程的系统中，进程 P 创建的若干线程不能共享的是（ ）。 进程和线程,,D,进程和线程A.进程 P 的代码段B.进程 P 中打开的文件C.进程 P 的全局变量D.进程 P 中某线程的栈指针查看答案与解析收藏正确答案：D进程是资源分配的基本单位，线程是处理机调度的基本单位。因此，进程的代码段、进程打开的文件、进程的全局变量等都是进程的资源，唯有进程中某线程的栈指针是属于线程的，属于进程的资源可以共享，属于线程的栈是独享的，对其他线程透明。,
2011,操作系统,真题,26,用户程序发出磁盘 I/O 请求后，系统的正确处理流程是（ ）。 IO软件层次 I/O 软件一般从上到下分为四个层次：用户层、与设备无关的软件层、设备驱动程序以及中断处理程序。与设备无关的软件层也就是系统调用的处理程序。 当用户使用设备时，首先在用户程序中发起一次系统调用，操作系统的内核接到该调用请求后请求调用处理程序进行处理，再转到相应的设备驱动程序，当设备准备好或所需数据到达后设备硬件发出中断，将数据按上述调用顺序逆向回传到用户程序中。,,B,IO软件层次A.用户程序→系统调用处理程序→中断处理程序→设备驱动程序B.用户程序→系统调用处理程序→设备驱动程序→中断处理程序C.用户程序→设备驱动程序→系统调用处理程序→中断处理程序D.用户程序→设备驱动程序→中断处理程序→系统调用处理程序查看答案与解析收藏正确答案：BI/O 软件一般从上到下分为四个层次：用户层、与设备无关的软件层、设备驱动程序以及中断处理程序。与设备无关的软件层也就是系统调用的处理程序。当用户使用设备时，首先在用户程序中发起一次系统调用，操作系统的内核接到该调用请求后请求调用处理程序进行处理，再转到相应的设备驱动程序，当设备准备好或所需数据到达后设备硬件发出中断，将数据按上述调用顺序逆向回传到用户程序中。,
2011,操作系统,真题,27,某时刻进程的资源使用情况如下表所示。 此时的安全序列是（ ）。 银行家算法,,D,"银行家算法A.P1​,P2​,P3​,P4​B.P1​,P4​,P3​,P2​C.P1​,P3​,P2​,P4​D.不存在查看答案与解析收藏正确答案：D题应采用排除法，逐个代入分析。当剩余资源分配给P1​，待P1​执行完后，可用资源数为 (2,2,1)，此时仅能满足P4​的需求，排除 A、B；接着分配给P4​，待P4​执行完后，可用资源数为 (2,2,2)，此时已无法满足任何进程的需求，排除 C。此外，本题还可以使用银行家算法求解（对于选择题来说，显得过于复杂）。",data\images\2011_OS_27_1.svg
2011,操作系统,真题,28,在缺页处理过程中，操作系统执行的操作可能是（）。 I、修改页表 II、磁盘 I/O III、分配页框 缺页异常,,D,缺页异常A.仅 I、IIB.仅 IIC.仅 IIID.I、II 和 III查看答案与解析收藏正确答案：D缺页中断产生后，需要在内存中找到空闲页框并分配给需要访问的页（可能涉及页面置换），之后缺页中断处理程序调用设备驱动程序做磁盘/O，将位于外存上的页面调入内存，调入后需要修改页表，将页表中代表该页是否在内存的标志位（或有效位）置为 1，并将物理页框号填入相应位置，若必要还需修改其他相关表项等。,
2011,操作系统,真题,29,当系统发生抖动 (thrashing) 时，可以采取的有效措施是（ ）。 I. 撤销部分进程 II. 增加磁盘交换区的容量 III. 提高用户进程的优先级,,A,"抖动A.仅 IB.仅 IIC.仅 IIID.仅 I、II查看答案与解析收藏正确答案：A在具有对换功能的操作系统中，通常把外存分为文件区和对换区。前者用于存放文件，后者用于存放从内存换出的进程。抖动现象是指刚刚被换出的页很快又要被访问，为此又要换出其他页，而该页又很快被访问，如此频繁地置换页面，以致大部分时间都花在页面置换上，引起系统
性能下降。撤销部分进程可以减少所要用到的页面数，防止抖动。对换区大小和进程优先级都与抖动无关。",
2011,操作系统,真题,30,"在虚拟内存管理中，地址变换机构将逻辑地址变换为物理地址，形成该逻辑地址的阶段是（）。 程序的链接程序的装入 编译后的模块需要经过链接才能装载，而链接后形成的地址才是整个程序的完整逻辑地址空间。以 C 语言为例：C 语言经过预处理 (cpp)→编译 (ccl)→汇编 (as)→链接 (ld) 产生可执行文件。其中链接的前一步，产生了可重定位的二进制的目标文件。C 语言采用源文件独立编译的方法，如程序 main.c，file1.c,file2.c,file1.h,file2.h，在链接的前一步生成了 main.o,file1.o,file2.o，这些目标模块采用的逻辑地址都从 0 开始，但只是相对于该模块的逻辑地址。链接器将这三个文件，libc 和其他的库文件链接成一个可执行文件。链接阶段主要完成了重定位，形成整个程序的完整逻辑地址空间。 例如，file1.o 的逻辑地址为 01023，main.o 的逻辑地址为 01023，假设链接时将 file1.o 链接在 main.o 之后，则重定位之后 file1.o 对应的逻辑地址就应为 1024~2047。",,C,"程序的链接程序的装入A.编辑B.编译C.链接D.装载查看答案与解析收藏正确答案：C编译后的模块需要经过链接才能装载，而链接后形成的地址才是整个程序的完整逻辑地址空间。以 C 语言为例：C 语言经过预处理 (cpp)→编译 (ccl)→汇编 (as)→链接 (ld) 产生可执行文件。其中链接的前一步，产生了可重定位的二进制的目标文件。C 语言采用源文件独立编译的方法，如程序 main.c，file1.c,file2.c,file1.h,file2.h，在链接的前一步生成了 main.o,file1.o,file2.o，这些目标模块采用的逻辑地址都从 0 开始，但只是相对于该模块的逻辑地址。链接器将这三个文件，libc 和其他的库文件链接成一个可执行文件。链接阶段主要完成了重定位，形成整个程序的完整逻辑地址空间。例如，file1.o 的逻辑地址为 01023，main.o 的逻辑地址为 01023，假设链接时将 file1.o 链接在 main.o 之后，则重定位之后 file1.o 对应的逻辑地址就应为 1024~2047。",
2011,操作系统,真题,31,某文件占 10 个磁盘块，现要把该文件磁盘块逐个读入主存缓冲区，并送用户区进行分析，假设一个缓冲区与一个磁盘块大小相同，把一个磁盘块读入缓冲区的时间为 100μs，将缓冲区的数据传送到用户区的时间是 50μs，CPU 对一块数据进行分析的时间为 50μs。在单缓冲区和双缓冲区结构下，读入并分析完该文件的时间分别是（ ）。,,B,缓冲区A.1500μs、1000μsB.1550μs、1100μsC.1550μs、1550μsD.2000μs、2000μs查看答案与解析收藏正确答案：B在单缓冲区中，当上一个磁盘块从缓冲区读入用户区完成时，下一磁盘块才能开始读入，也就是当最后一块磁盘块读入用户区完毕时所用时间为 150×10=1500μs，加上处理最后一个磁盘块的时间 50μs，得 1550μs。在双缓冲中，不存在等待磁盘块从缓冲区读入用户区的问题，10 个磁盘块可以连续从外存读入主存缓冲区，加上将最后一个磁盘块从缓冲区送到用户区的传输时间 50μs 以及处理时间 50μs，也就是 100×10+50+50=1100μs。,
2011,操作系统,真题,32,有两个并发执行的进程 P1 和 P2，共享初值为 1 的变量 x。P1 对 x 加 1，P2 对 x 减 1。加 1 和减 1 操作的指令序列分别如下所示。 两个操作完成后，x 的值（ ）。 进程和线程,,C,"进程和线程A.可能为 -1 或 3B.只能为 1C.可能为 0、1 或 2D.可能为 -1、0、1 或 2查看答案与解析收藏正确答案：C将P1​中 3 条语句依次编号为 1,2,3；P2​中 3 条语句依次编号为 4,5,6。依次执行 1,2,3,4,5,6 得结果 1，依次执行 1,2,4,5,6,3 得结果 2，执行 4,5,1,2,3,6 得结果 0。因此结果 -1 不可能得出。",
2011,计算机网络,真题,33,TCP/IP 参考模型的网络层提供的是（ ）。 TCP/IP模型,,A,"TCP/IP模型A.无连接不可靠的数据报服务B.无连接可靠的数据报服务C.有连接不可靠的虚电路服务D.有连接可靠的虚电路服务查看答案与解析收藏正确答案：ATCP/IP 的网络层向上只提供简单灵活的、无连接的、尽最大努力交付的数据报服务。考查 IP
首部，如果是面向连接的，那么应有用于建立连接的字段，但是没有；如果提供可靠的服务，那
么至少应有序号和校验 和两个字段，但是 IP 分组头中也没有（IP 首部中只是首部校验和）。通常
有连 接、可靠 的应用是由运输层的 TCP 实现的。",
2011,计算机网络,真题,34,若某通信链路的数据传输速率为 2400 bps，采用 4 相位调制，则该链路的波特率是（ ）。 调制方法,,B,调制方法A.600 波特B.1200 波特C.4800 波特D.9600 波特查看答案与解析收藏正确答案：B波特率B 与数据传输率 C 的关系：C=Blog2​N，N为一个码元所取的离散值个数。采用4种相位，也即可以表示4种变化，故一个码元可携带log2​4=2bit 信息，则该链路的波特率 = 比特率/2 = 1200 波特。,
2011,计算机网络,真题,35,数据链路层采用选择重传协议 (SR) 传输数据，发送方已发送了 0～3 号数据帧，现已收到 1 号帧的确认，而 0、2 号帧依次超时，则此时需要重传的帧数是（ ）。 ARQ协议,,B,ARQ协议A.1B.2C.3D.4查看答案与解析收藏正确答案：B在选择性重传中，接收方逐个确认正确接收的分组，不管接收到的分组是否有序，只要正确接收就发送选择 ACK 分组进行确认。因此选择重传协议中的 ACK 分组不再具有累积确认的作用，要特别注意其与 GBN 协议的区别。本题中只收到 1 号帧的确认，0、2 号帧超时，由于对于1 号帧的确认不具累积确认的作用，因此发送方认为接收方没有收到 0、2 号帧，于是重传这两帧。因为 3 号帧计时器并无超时，所以暂时不用重传 3 号帧。,
2011,计算机网络,真题,36,下列选项中，对正确接收到的数据帧进行确认的 MAC 协议是（ ）。 介质访问控制,,D,介质访问控制A.CSMAB.CDMAC.CSMA/CDD.CSMA/CA查看答案与解析收藏正确答案：DCSMA/CA 协议是无线局域网标准 802.11 中的协议，它在 CSMA 的基础上增加了冲突避免的功能。ACK 帧是 CSMA/CA 避免冲突的机制之一，也就是说，只有当发送方收到接收方发回的 ACK 帧后才确认发出的数据帧已正确到达目的地。,
2011,计算机网络,真题,37,"某网络拓扑如下图所示，路由器R1只有到达子网192.168.1.0/24的路由。为使R1可以将IP分组正确地路由到图中所有子网，则在R1中需要增加的一条路由（目的网络，子网掩码，下一跳）是（ ）。 192.168.1.0/24192.168.2.0/25192.168.2.128/25R1192.168.1.1192.168.1.2R2192.168.2.1192.168.2.130 192.168.1.0/24192.168.2.0/25192.168.2.128/25R1192.168.1.1192.168.1.2R2192.168.2.1192.168.2.130 192.168.1.0/24 192.168.1.0/24 192.168.1.0/24 192.168.2.0/25 192.168.2.0/25 192.168.2.0/25 192.168.2.128/25 192.168.2.128/25 192.168.2.128/25 192.168.1.1 192.168.1.1 192.168.1.1 192.168.1.2 192.168.1.2 192.168.1.2 192.168.2.1 192.168.2.1 192.168.2.1 192.168.2.130 192.168.2.130 192.168.2.130 子网聚合 要使 R1 能够正确将分组路由到所有子网，则 R1 中需要有到 192.168.2.0/25 和 192.168.2.128/25 的路由，分别转换成二进制如下： 192.168.2.0:11000000 10101000 0000001000000000 192.168.2.128:11000000 10101000 0000001010000000 前 24 位都是相同的，于是可以聚合成超网 192.168.2.0/24, 子网掩码为前 24 位，即 255.255.255.0。下 一跳是与 R1 直接相连的 R2 的地址，因此是 192.168.1.2。",,D,"子网聚合A.192.168.2.0，255.255.255.128，192.168.1.1B.192.168.2.0，255.255.255.0，192.168.1.1C.192.168.2.0，255.255.255.128，192.168.1.2D.192.168.2.0，255.255.255.0，192.168.1.2查看答案与解析收藏正确答案：D要使 R1 能够正确将分组路由到所有子网，则 R1 中需要有到 192.168.2.0/25 和 192.168.2.128/25 的路由，分别转换成二进制如下：192.168.2.0:11000000 10101000 0000001000000000192.168.2.128:11000000 10101000 0000001010000000前 24 位都是相同的，于是可以聚合成超网 192.168.2.0/24, 子网掩码为前 24 位，即 255.255.255.0。下 一跳是与 R1 直接相连的 R2 的地址，因此是 192.168.1.2。",
2011,计算机网络,真题,38,在子网 192.168.4.0/30 中，能接收目的地址为 192.168.4.3 的 IP 分组的最大主机数是（ ）。 子网划分,,C,子网划分A.0B.1C.2D.4查看答案与解析收藏正确答案：C首先分析 192.168.4.0/30 这个网络，主机号只占 2 位，地址范围为 192.168.4.0-192.168.4.3，主机号全 1 时，即 192.168.4.3 是广播地址，主机号全 0 表示本网络本身，不作为主机地址使用，因此可容纳 4-2=2 个 主机。,
2011,计算机网络,真题,39,"主机甲向主机乙发送一个 (SYN＝1, seq＝11220) 的 TCP 段，期望与主机乙建立 TCP 连接，若主机乙接受该连接请求，则主机乙向主机甲发送的正确的 TCP 段可能是 TCP三次握手",,C,"TCP三次握手A.(SYN＝0, ACK＝0, seq＝11221, ack＝11221)B.(SYN＝1, ACK＝1, seq＝11220, ack＝11220)C.(SYN＝1, ACK＝1, seq＝11221, ack＝11221)D.(SYN＝0, ACK＝0, seq＝11220, ack＝11220)查看答案与解析收藏正确答案：C本题考查三次握手，在确认报文段中，同步位 SYN 和确认位 ACK 必须都是 1；返回的确认号 seq 是甲发送的初始序号 seq=11220 加 1，即 ack= 11221；同时乙也要选择并消耗一个初始序号 seq，seq 值由乙的TCP 进程任意给出，它与确认号、请求报文段的序号没有任何关系。",
2011,计算机网络,真题,40,主机甲与主机乙之间已建立一个 TCP 连接，主机甲向主机乙发送了 3 个连续的 TCP 段，分别包含 300 字节、400 字节和 500 字节的有效载荷，第 3 个段的序号为 900。若主机乙仅正确接收到第 1 和第 3 个段，则主机乙发送给主机甲的确认序号是 TCP滑动窗口,,B,TCP滑动窗口A.300B.500C.1200D.1400查看答案与解析收藏正确答案：BTCP 首部的序号字段是指本报文段数据部分的第一个字节的序号，而确认号是期待收到对方下一个报文段的第一个字节的序号。第三个段的序号为 900，则第二个段的序号为 900-400=500，现在主机乙期待收到第二个段，故发给甲的确认号是 500。,
